,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,24832,1,0.20479510952513977
1,NARRATOR,Other,Unknown,24828,5,0.9188859537605893
2,NARRATOR,Other,Unknown,24823,10,1.75253967908066
3,NARRATOR,Other,Unknown,24818,15,2.5018655571575095
4,NARRATOR,Other,Unknown,24813,20,3.1837367950119817
5,NARRATOR,Other,Unknown,24803,30,4.412125280862857
6,NARRATOR,Other,Unknown,24793,40,3.9143963220641904
7,NARRATOR,Other,Unknown,24783,50,3.542602494999631
8,NARRATOR,Other,Unknown,24773,60,3.2059176996772907
9,NARRATOR,Other,Unknown,24763,70,3.0791820885322285
10,NARRATOR,Response,Anger,24832,1,0.07120894879152169
11,NARRATOR,Response,Anger,24828,5,0.35053717855913447
12,NARRATOR,Response,Anger,24823,10,0.6959225859279744
13,NARRATOR,Response,Anger,24818,15,1.0353404681124359
14,NARRATOR,Response,Anger,24813,20,1.3702703670740808
15,NARRATOR,Response,Anger,24803,30,2.0240591159258763
16,NARRATOR,Response,Anger,24793,40,2.2399353287142163
17,NARRATOR,Response,Anger,24783,50,2.2613787652845487
18,NARRATOR,Response,Anger,24773,60,2.2225700992336797
19,NARRATOR,Response,Anger,24763,70,2.2106888456147735
20,NARRATOR,Response,Anticipation,24832,1,0.11755660358633516
21,NARRATOR,Response,Anticipation,24828,5,0.5757211984845787
22,NARRATOR,Response,Anticipation,24823,10,1.1356380096259058
23,NARRATOR,Response,Anticipation,24818,15,1.6802448373202965
24,NARRATOR,Response,Anticipation,24813,20,2.20708079023758
25,NARRATOR,Response,Anticipation,24803,30,3.2026406145523403
26,NARRATOR,Response,Anticipation,24793,40,3.2039071871606657
27,NARRATOR,Response,Anticipation,24783,50,3.0419079721368867
28,NARRATOR,Response,Anticipation,24773,60,2.8547101864347764
29,NARRATOR,Response,Anticipation,24763,70,2.7868960297221697
30,NARRATOR,Response,Arousal,24832,1,0.3006631930366298
31,NARRATOR,Response,Arousal,24828,5,1.4401911468335655
32,NARRATOR,Response,Arousal,24823,10,2.806539523349422
33,NARRATOR,Response,Arousal,24818,15,4.051523580415813
34,NARRATOR,Response,Arousal,24813,20,5.1333606875620434
35,NARRATOR,Response,Arousal,24803,30,6.910371639392444
36,NARRATOR,Response,Arousal,24793,40,4.965475155680101
37,NARRATOR,Response,Arousal,24783,50,3.806877066484856
38,NARRATOR,Response,Arousal,24773,60,3.0947359793199953
39,NARRATOR,Response,Arousal,24763,70,2.875667477163429
40,NARRATOR,Response,Disgust,24832,1,0.04932589627903792
41,NARRATOR,Response,Disgust,24828,5,0.24116600628520052
42,NARRATOR,Response,Disgust,24823,10,0.4794653754249795
43,NARRATOR,Response,Disgust,24818,15,0.7154409410920085
44,NARRATOR,Response,Disgust,24813,20,0.9498380810297851
45,NARRATOR,Response,Disgust,24803,30,1.4143688002881234
46,NARRATOR,Response,Disgust,24793,40,1.6400810368911254
47,NARRATOR,Response,Disgust,24783,50,1.7345552319136728
48,NARRATOR,Response,Disgust,24773,60,1.779961467621458
49,NARRATOR,Response,Disgust,24763,70,1.7951980600749649
50,NARRATOR,Response,Dominance,24832,1,0.42166250650255316
51,NARRATOR,Response,Dominance,24828,5,1.9592339471523186
52,NARRATOR,Response,Dominance,24823,10,3.7721890923162773
53,NARRATOR,Response,Dominance,24818,15,5.338888482722636
54,NARRATOR,Response,Dominance,24813,20,6.562231194432444
55,NARRATOR,Response,Dominance,24803,30,8.335392639077678
56,NARRATOR,Response,Dominance,24793,40,5.018578373254847
57,NARRATOR,Response,Dominance,24783,50,3.692555020737048
58,NARRATOR,Response,Dominance,24773,60,2.955285101521903
59,NARRATOR,Response,Dominance,24763,70,2.7301059863342925
60,NARRATOR,Response,Fear,24832,1,0.07856368812215131
61,NARRATOR,Response,Fear,24828,5,0.3868602219417317
62,NARRATOR,Response,Fear,24823,10,0.765159219509232
63,NARRATOR,Response,Fear,24818,15,1.1372440474947254
64,NARRATOR,Response,Fear,24813,20,1.5032103796359115
65,NARRATOR,Response,Fear,24803,30,2.205784002935365
66,NARRATOR,Response,Fear,24793,40,2.3478031804144424
67,NARRATOR,Response,Fear,24783,50,2.314016319575306
68,NARRATOR,Response,Fear,24773,60,2.2612312679956847
69,NARRATOR,Response,Fear,24763,70,2.2473296307535366
70,NARRATOR,Response,Joy,24832,1,0.12161190248857265
71,NARRATOR,Response,Joy,24828,5,0.5931841332262581
72,NARRATOR,Response,Joy,24823,10,1.1681684183877283
73,NARRATOR,Response,Joy,24818,15,1.727348290043497
74,NARRATOR,Response,Joy,24813,20,2.26875795010115
75,NARRATOR,Response,Joy,24803,30,3.297675491651789
76,NARRATOR,Response,Joy,24793,40,3.3315106095004543
77,NARRATOR,Response,Joy,24783,50,3.13496340623676
78,NARRATOR,Response,Joy,24773,60,2.895756971715892
79,NARRATOR,Response,Joy,24763,70,2.809488903787877
80,NARRATOR,Response,Sadness,24832,1,0.069270375492749
81,NARRATOR,Response,Sadness,24828,5,0.3401191210635943
82,NARRATOR,Response,Sadness,24823,10,0.6738316498918338
83,NARRATOR,Response,Sadness,24818,15,1.0036537617134873
84,NARRATOR,Response,Sadness,24813,20,1.3275293146492948
85,NARRATOR,Response,Sadness,24803,30,1.957440963751673
86,NARRATOR,Response,Sadness,24793,40,2.1506974065242535
87,NARRATOR,Response,Sadness,24783,50,2.1799846178100295
88,NARRATOR,Response,Sadness,24773,60,2.1676818747465747
89,NARRATOR,Response,Sadness,24763,70,2.1614723524665913
90,NARRATOR,Response,Surprise,24832,1,0.06815639198412325
91,NARRATOR,Response,Surprise,24828,5,0.3363684090958867
92,NARRATOR,Response,Surprise,24823,10,0.6660003777937272
93,NARRATOR,Response,Surprise,24818,15,0.9913100438488616
94,NARRATOR,Response,Surprise,24813,20,1.312873576945275
95,NARRATOR,Response,Surprise,24803,30,1.9481807229159196
96,NARRATOR,Response,Surprise,24793,40,2.1803902181775623
97,NARRATOR,Response,Surprise,24783,50,2.221024019473319
98,NARRATOR,Response,Surprise,24773,60,2.20206812422981
99,NARRATOR,Response,Surprise,24763,70,2.1890095444936413
100,NARRATOR,Response,Trust,24832,1,0.1652858768618273
101,NARRATOR,Response,Trust,24828,5,0.803648401674191
102,NARRATOR,Response,Trust,24823,10,1.5823628501716334
103,NARRATOR,Response,Trust,24818,15,2.3346734052459404
104,NARRATOR,Response,Trust,24813,20,3.0552781992009526
105,NARRATOR,Response,Trust,24803,30,4.389196840980234
106,NARRATOR,Response,Trust,24793,40,4.045829874050079
107,NARRATOR,Response,Trust,24783,50,3.528106097554007
