,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,62482,1,0.13211509205904673
1,NARRATOR,Other,Unknown,62478,5,0.606782529207992
2,NARRATOR,Other,Unknown,62473,10,1.1663267064919463
3,NARRATOR,Other,Unknown,62468,15,1.6939638399612853
4,NARRATOR,Other,Unknown,62463,20,2.1959808956622173
5,NARRATOR,Other,Unknown,62453,30,3.1477118835791718
6,NARRATOR,Other,Unknown,62433,50,2.998980502068327
7,NARRATOR,Other,Unknown,62413,70,2.8168520368508405
8,NARRATOR,Response,Anger,62482,1,0.0647777033650848
9,NARRATOR,Response,Anger,62478,5,0.3195305853249723
10,NARRATOR,Response,Anger,62473,10,0.6303165048314507
11,NARRATOR,Response,Anger,62468,15,0.9322026802481055
12,NARRATOR,Response,Anger,62463,20,1.2254398468323047
13,NARRATOR,Response,Anger,62453,30,1.7848183952726713
14,NARRATOR,Response,Anger,62433,50,1.8914834083738008
15,NARRATOR,Response,Anger,62413,70,1.8752470800766243
16,NARRATOR,Response,Anticipation,62482,1,0.0742687471295095
17,NARRATOR,Response,Anticipation,62478,5,0.3662247704775213
18,NARRATOR,Response,Anticipation,62473,10,0.7235379608946253
19,NARRATOR,Response,Anticipation,62468,15,1.0714124399514444
20,NARRATOR,Response,Anticipation,62463,20,1.4094101742740206
21,NARRATOR,Response,Anticipation,62453,30,2.0546386050335257
22,NARRATOR,Response,Anticipation,62433,50,2.0995471837665343
23,NARRATOR,Response,Anticipation,62413,70,2.07816965583223
24,NARRATOR,Response,Arousal,62482,1,0.2044487259558452
25,NARRATOR,Response,Arousal,62478,5,0.9847186540198855
26,NARRATOR,Response,Arousal,62473,10,1.9202411015605882
27,NARRATOR,Response,Arousal,62468,15,2.8018621712016514
28,NARRATOR,Response,Arousal,62463,20,3.6069568144881794
29,NARRATOR,Response,Arousal,62453,30,4.9957597807882745
30,NARRATOR,Response,Arousal,62433,50,3.459367691320752
31,NARRATOR,Response,Arousal,62413,70,2.9490660095885253
32,NARRATOR,Response,Disgust,62482,1,0.045119922990411496
33,NARRATOR,Response,Disgust,62478,5,0.22325678551974584
34,NARRATOR,Response,Disgust,62473,10,0.4424570481023793
35,NARRATOR,Response,Disgust,62468,15,0.657992244562131
36,NARRATOR,Response,Disgust,62463,20,0.8692787739408772
37,NARRATOR,Response,Disgust,62453,30,1.2807980787063038
38,NARRATOR,Response,Disgust,62433,50,1.4733674996114192
39,NARRATOR,Response,Disgust,62413,70,1.5200654734582577
40,NARRATOR,Response,Dominance,29763,1,0.3581762121679254
41,NARRATOR,Response,Dominance,29759,5,1.7864052311698597
42,NARRATOR,Response,Dominance,29754,10,3.5547906271189373
43,NARRATOR,Response,Dominance,29749,15,5.270159872648836
44,NARRATOR,Response,Dominance,29744,20,6.879519166079754
45,NARRATOR,Response,Dominance,29734,30,9.65010285093967
46,NARRATOR,Response,Dominance,29714,50,3.733252281129762
47,NARRATOR,Response,Dominance,29694,70,1.7928193905192957
48,NARRATOR,Response,Fear,29763,1,0.9880906393022422
49,NARRATOR,Response,Fear,29759,5,4.936861069522466
50,NARRATOR,Response,Fear,29754,10,9.847027543628293
51,NARRATOR,Response,Fear,29749,15,13.929117863463503
52,NARRATOR,Response,Fear,29744,20,14.813419270551035
53,NARRATOR,Response,Fear,29734,30,14.859825936035099
