,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,47190,1,0.11518374613388432
1,NARRATOR,Other,Unknown,47186,5,0.5284941439182271
2,NARRATOR,Other,Unknown,47181,10,1.0200892850824386
3,NARRATOR,Other,Unknown,47176,15,1.4902953780486998
4,NARRATOR,Other,Unknown,47171,20,1.9425045260521856
5,NARRATOR,Other,Unknown,47161,30,2.800999418873515
6,NARRATOR,Other,Unknown,47141,50,2.8300291244798355
7,NARRATOR,Other,Unknown,47121,70,2.7243824405732817
8,NARRATOR,Response,Anger,47190,1,0.030248297846150796
9,NARRATOR,Response,Anger,47186,5,0.1505685115600141
10,NARRATOR,Response,Anger,47181,10,0.2991418951148508
11,NARRATOR,Response,Anger,47176,15,0.44648795469495417
12,NARRATOR,Response,Anger,47171,20,0.5925298423845962
13,NARRATOR,Response,Anger,47161,30,0.8813086748289645
14,NARRATOR,Response,Anger,47141,50,1.1114263832588338
15,NARRATOR,Response,Anger,47121,70,1.2053307666544164
16,NARRATOR,Response,Anticipation,15195,1,0.22238540418395208
17,NARRATOR,Response,Anticipation,15191,5,1.109426251971783
18,NARRATOR,Response,Anticipation,15186,10,2.2051644506210195
19,NARRATOR,Response,Anticipation,15181,15,3.271223764058652
20,NARRATOR,Response,Anticipation,15176,20,4.293413756990869
21,NARRATOR,Response,Anticipation,15166,30,6.174489606212683
22,NARRATOR,Response,Anticipation,15146,50,4.161099071368872
23,NARRATOR,Response,Anticipation,15126,70,2.9552277598329395
24,NARRATOR,Response,Arousal,47190,1,0.1955913076399141
25,NARRATOR,Response,Arousal,47186,5,0.9422957238005703
26,NARRATOR,Response,Arousal,47181,10,1.8339924745847742
27,NARRATOR,Response,Arousal,47176,15,2.664299951381325
28,NARRATOR,Response,Arousal,47171,20,3.418610095023166
29,NARRATOR,Response,Arousal,47161,30,4.692750128923655
30,NARRATOR,Response,Arousal,47141,50,3.1231364687419125
31,NARRATOR,Response,Arousal,47121,70,2.6875168473689044
32,NARRATOR,Response,Disgust,47190,1,0.021121337849570144
33,NARRATOR,Response,Disgust,47186,5,0.1049183288310098
34,NARRATOR,Response,Disgust,47181,10,0.20920312301048694
35,NARRATOR,Response,Disgust,47176,15,0.3121758646904301
36,NARRATOR,Response,Disgust,47171,20,0.4147509996934278
37,NARRATOR,Response,Disgust,47161,30,0.6193575323518837
38,NARRATOR,Response,Disgust,47141,50,0.8304015067877416
39,NARRATOR,Response,Disgust,47121,70,0.9198517565910026
40,NARRATOR,Response,Dominance,47190,1,0.31233762064435255
41,NARRATOR,Response,Dominance,47186,5,1.44323729003936
42,NARRATOR,Response,Dominance,47181,10,2.748070449669476
