,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",13432,1,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",13432,1,4.239915432336606e-05,0.47,0.5658291838099492
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",13432,1,9.455633035413701e-05,0.48,0.28083553295142727
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",13432,1,0.00042841229090798073,0.03,0.0031700577322736345
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",13432,1,3.2994878618502473e-05,1.0,0.6420081923363279
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",13432,1,0.0004403121673657523,0.0,0.002701811729996284
6,6,"('Other', 'Unknown')","('Response', 'Fear')",13432,1,7.132641506704275e-05,0.39,0.38366516199145484
7,7,"('Other', 'Unknown')","('Response', 'Joy')",13432,1,4.717467261130089e-05,0.76,0.530676310773776
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",13432,1,3.771412113970107e-05,0.8,0.6025778797184455
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",13432,1,4.717823284851541e-05,0.81,0.5306509357415503
10,10,"('Other', 'Unknown')","('Response', 'Trust')",13432,1,8.742822927418233e-05,0.5,0.30905112973289117
11,11,"('Other', 'Unknown')","('Response', 'Valence')",13432,1,0.00018220321082462753,0.19,0.08653802860662352
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",13432,1,9.588868255523541e-05,0.43,0.2758547291755137
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",13432,1,0.0002986839697130338,0.08,0.018103963311107085
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",13432,1,5.796002031598801e-05,0.7,0.4591120262190811
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",13432,1,5.265515701312557e-05,0.69,0.49301710300706514
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",13432,1,2.1554468560470125e-05,0.82,0.7486392398527085
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",13432,1,5.609482402007994e-05,0.63,0.4707587230929984
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",13432,1,0.00018154515714780627,0.18,0.08730626928038498
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",13432,1,0.00020705266343658266,0.18,0.06198119027570803
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",13432,1,0.0003010409154313309,0.07,0.01753983787642266
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",13432,1,0.0002449394291352823,0.13,0.03726199126832197
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",13432,1,6.934049502372925e-05,0.4,0.3940363209961032
23,23,"('Response', 'Anger')","('Other', 'Unknown')",13432,1,6.2657193229589e-05,0.48,0.43104242395746606
24,24,"('Response', 'Anger')","('Response', 'Anger')",13432,1,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",13432,1,2.591648146874772e-05,0.05,0.7060393809890975
26,26,"('Response', 'Anger')","('Response', 'Arousal')",13432,1,0.0003756487514499653,0.0,0.006439281066562885
27,27,"('Response', 'Anger')","('Response', 'Disgust')",13432,1,0.0010945792964289199,0.0,4.1239074355381433e-07
28,28,"('Response', 'Anger')","('Response', 'Dominance')",13432,1,5.5219197230242976e-05,0.45,0.47632778490207806
29,29,"('Response', 'Anger')","('Response', 'Fear')",13432,1,0.00040779376190153117,0.0,0.004181530228353547
30,30,"('Response', 'Anger')","('Response', 'Joy')",13432,1,0.0003483146480289801,0.0,0.009295600663529524
31,31,"('Response', 'Anger')","('Response', 'Sadness')",13432,1,0.00041884724888561613,0.0,0.0036046254904619213
32,32,"('Response', 'Anger')","('Response', 'Surprise')",13432,1,8.843964775089028e-05,0.02,0.30488125411863165
33,33,"('Response', 'Anger')","('Response', 'Trust')",13432,1,0.0002798772773130601,0.0,0.023306296669540538
34,34,"('Response', 'Anger')","('Response', 'Valence')",13432,1,6.196441761536184e-05,0.32,0.4350718483150524
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",13432,1,1.019950342194195e-05,0.86,0.8719793553069706
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",13432,1,0.00020622928520435438,0.1,0.06267043149483054
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",13432,1,0.00017206532950954405,0.25,0.09916110377320442
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",13432,1,0.0002919910392665505,0.04,0.01980676667527026
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",13432,1,6.464901240098705e-05,0.7,0.41966400097271184
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",13432,1,0.00014496943416061355,0.38,0.1426894811556252
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",13432,1,2.908805806053623e-05,0.69,0.6765954768253535
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",13432,1,1.5727578002368783e-05,0.76,0.8095820920882278
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",13432,1,4.135674476204068e-05,0.48,0.5738068492251799
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",13432,1,1.7763440806769032e-05,0.96,0.7877450567810946
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",13432,1,3.388241610905159e-05,0.58,0.634400556940529
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",13432,1,8.380708197717195e-06,1.0,0.8935425785939208
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",13432,1,0.0001647643287140339,0.08,0.10937754139551226
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",13432,1,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",13432,1,0.0007146345720626731,0.0,6.784689486893924e-05
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",13432,1,0.0002706745692150762,0.02,0.026372588065325275
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",13432,1,0.00024382231799710316,0.05,0.037825282413421535
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",13432,1,0.000237085479076517,0.0,0.041407424872836995
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",13432,1,0.0004390866433458332,0.0,0.002746651606600037
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",13432,1,0.00023422646640920618,0.0,0.04302836754977202
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",13432,1,0.0001229055846373103,0.08,0.19190690251858178
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",13432,1,8.274692296169624e-05,0.12,0.3291064835755242
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",13432,1,0.00030246380534939226,0.01,0.01720781961583162
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",13432,1,0.000329487036593487,0.03,0.011970136110747709
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",13432,1,4.5052255718372884e-05,0.79,0.5460215437743563
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",13432,1,0.00015095974294755725,0.25,0.13165896376269415
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",13432,1,4.431981719768224e-05,0.56,0.5514194733714135
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",13432,1,7.689203496932176e-06,0.93,0.9018801021798799
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",13432,1,0.0001277421599667188,0.24,0.1798368999023241
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",13432,1,4.501856805670971e-05,0.74,0.5462686520261427
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",13432,1,0.00015973328705882984,0.18,0.11702381961092234
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",13432,1,0.00025162267182943964,0.07,0.03406298032610666
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",13432,1,0.00017698988043056445,0.21,0.09281462226766857
68,68,"('Response', 'Anticipation')","('Stimulus', 'Valence')",13432,1,6.785269749488776e-05,0.58,0.40198939148430846
69,69,"('Response', 'Arousal')","('Other', 'Unknown')",13432,1,1.7560512355399587e-05,0.87,0.7898950097169762
70,70,"('Response', 'Arousal')","('Response', 'Anger')",13432,1,0.0008696834045087102,0.0,8.455293982523315e-06
71,71,"('Response', 'Arousal')","('Response', 'Anticipation')",13432,1,0.00042525631932292937,0.02,0.0033073182153657843
72,72,"('Response', 'Arousal')","('Response', 'Arousal')",13432,1,0.0,1.0,1.0
73,73,"('Response', 'Arousal')","('Response', 'Disgust')",13432,1,0.00010692864074959248,0.02,0.23783964951555225
74,74,"('Response', 'Arousal')","('Response', 'Dominance')",13432,1,0.001302253369002255,0.0,2.5348025456395362e-08
75,75,"('Response', 'Arousal')","('Response', 'Fear')",13432,1,0.00047993027752794414,0.0,0.0015869464871988148
