,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,15131,1,0.10916908242887595
1,NARRATOR,Other,Unknown,15127,5,0.4968763098616088
2,NARRATOR,Other,Unknown,15122,10,0.9436293853045388
3,NARRATOR,Other,Unknown,15117,15,1.3569845322856153
4,NARRATOR,Other,Unknown,15112,20,1.750583626624398
5,NARRATOR,Other,Unknown,15102,30,2.4823798670670096
6,NARRATOR,Other,Unknown,15092,40,2.4943626012475444
7,NARRATOR,Other,Unknown,15082,50,2.4508338769887796
8,NARRATOR,Other,Unknown,15072,60,2.396430502349737
9,NARRATOR,Other,Unknown,15062,70,2.3762668854931808
10,NARRATOR,Response,Anger,15131,1,0.09437792065080014
11,NARRATOR,Response,Anger,15127,5,0.4662527725469507
12,NARRATOR,Response,Anger,15122,10,0.9248503565666751
13,NARRATOR,Response,Anger,15117,15,1.3716471410331175
14,NARRATOR,Response,Anger,15112,20,1.8052613409967788
15,NARRATOR,Response,Anger,15102,30,2.6280356782613015
16,NARRATOR,Response,Anger,15092,40,2.7114084607317714
17,NARRATOR,Response,Anger,15082,50,2.5657113659017794
18,NARRATOR,Response,Anger,15072,60,2.39108733295862
19,NARRATOR,Response,Anger,15062,70,2.3316784450272157
20,NARRATOR,Response,Anticipation,15131,1,0.13673163974380192
21,NARRATOR,Response,Anticipation,15127,5,0.6790719128755605
22,NARRATOR,Response,Anticipation,15122,10,1.3445104260741771
23,NARRATOR,Response,Anticipation,15117,15,1.9911123247511036
24,NARRATOR,Response,Anticipation,15112,20,2.61260274760503
25,NARRATOR,Response,Anticipation,15102,30,3.7533397046954717
26,NARRATOR,Response,Anticipation,15092,40,3.485495049051581
27,NARRATOR,Response,Anticipation,15082,50,2.9878853134100876
28,NARRATOR,Response,Anticipation,15072,60,2.6117864192825335
29,NARRATOR,Response,Anticipation,15062,70,2.486804139739359
30,NARRATOR,Response,Arousal,15131,1,0.3453229035646617
31,NARRATOR,Response,Arousal,15127,5,1.6603722116951416
32,NARRATOR,Response,Arousal,15122,10,3.2199954585515935
33,NARRATOR,Response,Arousal,15117,15,4.596513929063277
34,NARRATOR,Response,Arousal,15112,20,5.722336918659072
35,NARRATOR,Response,Arousal,15102,30,7.22143011720441
36,NARRATOR,Response,Arousal,15092,40,4.051051430665117
37,NARRATOR,Response,Arousal,15082,50,2.6433457162753546
38,NARRATOR,Response,Arousal,15072,60,2.0416633426071034
39,NARRATOR,Response,Arousal,15062,70,1.919455939810174
40,NARRATOR,Response,Disgust,15131,1,0.05879047956012156
41,NARRATOR,Response,Disgust,15127,5,0.2934848314181724
42,NARRATOR,Response,Disgust,15122,10,0.5830288946558926
43,NARRATOR,Response,Disgust,15117,15,0.8660677538327726
44,NARRATOR,Response,Disgust,15112,20,1.1435304121603975
45,NARRATOR,Response,Disgust,15102,30,1.6724733120549393
46,NARRATOR,Response,Disgust,15092,40,1.8194361537161587
47,NARRATOR,Response,Disgust,15082,50,1.8304351269550307
48,NARRATOR,Response,Disgust,15072,60,1.8142594967209071
49,NARRATOR,Response,Disgust,15062,70,1.8095082223704413
50,NARRATOR,Response,Dominance,15131,1,0.47439824460587965
51,NARRATOR,Response,Dominance,15127,5,2.2294760893692436
52,NARRATOR,Response,Dominance,15122,10,4.26275719167436
53,NARRATOR,Response,Dominance,15117,15,5.914223845082179
54,NARRATOR,Response,Dominance,15112,20,7.033533496884469
55,NARRATOR,Response,Dominance,15102,30,8.210753385329284
56,NARRATOR,Response,Dominance,15092,40,3.6156974678608473
57,NARRATOR,Response,Dominance,15082,50,2.308058880020575
58,NARRATOR,Response,Dominance,15072,60,1.8460971336480556
59,NARRATOR,Response,Dominance,15062,70,1.7617730031051104
60,NARRATOR,Response,Fear,15131,1,0.1303035760200946
61,NARRATOR,Response,Fear,15127,5,0.6377457358181807
62,NARRATOR,Response,Fear,15122,10,1.256526713894705
63,NARRATOR,Response,Fear,15117,15,1.851140286194785
64,NARRATOR,Response,Fear,15112,20,2.4176550935348304
65,NARRATOR,Response,Fear,15102,30,3.468485169367205
66,NARRATOR,Response,Fear,15092,40,3.3458396199211964
67,NARRATOR,Response,Fear,15082,50,3.002358481439041
68,NARRATOR,Response,Fear,15072,60,2.674534741698575
69,NARRATOR,Response,Fear,15062,70,2.562545582198804
70,NARRATOR,Response,Joy,15131,1,0.08457690173824235
71,NARRATOR,Response,Joy,15127,5,0.4207717499047883
72,NARRATOR,Response,Joy,15122,10,0.8365156625591893
73,NARRATOR,Response,Joy,15117,15,1.2434413515444982
74,NARRATOR,Response,Joy,15112,20,1.6425057353676615
75,NARRATOR,Response,Joy,15102,30,2.420434135280231
76,NARRATOR,Response,Joy,15092,40,2.562386899479604
77,NARRATOR,Response,Joy,15082,50,2.485002019695109
78,NARRATOR,Response,Joy,15072,60,2.35902412287754
79,NARRATOR,Response,Joy,15062,70,2.305787668016593
80,NARRATOR,Response,Sadness,15131,1,0.10997309203135291
81,NARRATOR,Response,Sadness,15127,5,0.543247320733569
82,NARRATOR,Response,Sadness,15122,10,1.0721499912088188
83,NARRATOR,Response,Sadness,15117,15,1.5797927601029558
84,NARRATOR,Response,Sadness,15112,20,2.06818251493412
85,NARRATOR,Response,Sadness,15102,30,2.980114842437576
86,NARRATOR,Response,Sadness,15092,40,2.9411441122450115
87,NARRATOR,Response,Sadness,15082,50,2.677315632363343
88,NARRATOR,Response,Sadness,15072,60,2.4033924993479454
89,NARRATOR,Response,Sadness,15062,70,2.316572351398325
90,NARRATOR,Response,Surprise,15131,1,0.075796123730868
91,NARRATOR,Response,Surprise,15127,5,0.377962436450874
92,NARRATOR,Response,Surprise,15122,10,0.7516193996136167
93,NARRATOR,Response,Surprise,15117,15,1.1213375380252208
94,NARRATOR,Response,Surprise,15112,20,1.483135855140738
95,NARRATOR,Response,Surprise,15102,30,2.1744733493978807
96,NARRATOR,Response,Surprise,15092,40,2.2748020943077347
97,NARRATOR,Response,Surprise,15082,50,2.166495535353917
98,NARRATOR,Response,Surprise,15072,60,2.0549307823891048
99,NARRATOR,Response,Surprise,15062,70,2.023062192300863
100,NARRATOR,Response,Trust,15131,1,0.134851346399401
101,NARRATOR,Response,Trust,15127,5,0.6699477342554515
102,NARRATOR,Response,Trust,15122,10,1.3267681115011731
103,NARRATOR,Response,Trust,15117,15,1.9656872723583145
104,NARRATOR,Response,Trust,15112,20,2.5799428912400866
105,NARRATOR,Response,Trust,15102,30,3.7035579275770405
106,NARRATOR,Response,Trust,15092,40,3.4634967284595923
107,NARRATOR,Response,Trust,15082,50,3.0200587934401946
108,NARRATOR,Response,Trust,15072,60,2.641031279294268
109,NARRATOR,Response,Trust,15062,70,2.5230980485252577
110,NARRATOR,Response,Valence,15131,1,0.5022220620604861
111,NARRATOR,Response,Valence,15127,5,2.3462984829553433
112,NARRATOR,Response,Valence,15122,10,4.479932540327778
113,NARRATOR,Response,Valence,15117,15,6.167969869856166
114,NARRATOR,Response,Valence,15112,20,7.250512664491321
115,NARRATOR,Response,Valence,15102,30,8.358886874008974
116,NARRATOR,Response,Valence,15092,40,3.4869603502564295
117,NARRATOR,Response,Valence,15082,50,2.236684938164003
118,NARRATOR,Response,Valence,15072,60,1.8202237205965435
119,NARRATOR,Response,Valence,15062,70,1.7480169272764867
120,NARRATOR,Stimulus,Anger,15131,1,0.24764814451297568
121,NARRATOR,Stimulus,Anger,15127,5,1.2297038253505392
122,NARRATOR,Stimulus,Anger,15122,10,2.438918033442838
123,NARRATOR,Stimulus,Anger,15117,15,3.6071222466636788
124,NARRATOR,Stimulus,Anger,15112,20,4.720269160404916
125,NARRATOR,Stimulus,Anger,15102,30,6.710423862891898
