,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",38535,1,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",38535,1,6.232387666131373e-05,0.25,0.09057398365764324
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",38535,1,1.3691951553654415e-05,0.76,0.590015977955521
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",38535,1,3.6664473316529864e-05,0.54,0.24345362294621264
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",38535,1,3.21729239412963e-05,0.24,0.2894561529918126
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",38535,1,8.778530070446579e-05,0.1,0.033955013007161194
6,6,"('Other', 'Unknown')","('Response', 'Fear')",38535,1,6.94353602039307e-06,0.69,0.7652427180279772
7,7,"('Other', 'Unknown')","('Response', 'Joy')",38535,1,7.059498763390347e-06,0.74,0.7618308532117813
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",38535,1,2.1504889206326832e-06,0.92,0.9204736172292479
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",38535,1,1.1199808326385828e-05,0.57,0.649486379363055
10,10,"('Other', 'Unknown')","('Response', 'Trust')",38535,1,1.4893584306785739e-05,0.79,0.5633189020760849
11,11,"('Other', 'Unknown')","('Response', 'Valence')",38535,1,0.00014657578383274697,0.03,0.003524025784135021
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",38535,1,3.80486935988073e-05,0.33,0.2308081670513682
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",38535,1,4.0597038253150633e-07,0.99,0.9844780637950493
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",38535,1,8.083834312949026e-06,0.76,0.7323458005726058
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",38535,1,2.1957493339957163e-05,0.57,0.4290807933228833
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",38535,1,4.19083466863313e-05,0.3,0.19891131015567765
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",38535,1,5.0060507187481824e-05,0.22,0.14528883041097718
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",38535,1,5.583773698251287e-06,0.9,0.8064082623978727
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",38535,1,3.2159298650022067e-06,0.92,0.8834481805379086
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",38535,1,1.9199913890534307e-05,0.58,0.4771857352261417
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",38535,1,1.200405573438915e-05,0.74,0.6296669289101597
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",38535,1,2.6701453304671483e-05,0.49,0.3573949516229127
23,23,"('Response', 'Anger')","('Other', 'Unknown')",38535,1,9.99507745867006e-06,0.88,0.6803483620953219
