,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,34279,1,0.12258036903671476
1,NARRATOR,Other,Unknown,34275,5,0.5499786817614165
2,NARRATOR,Other,Unknown,34270,10,1.0515037084482934
3,NARRATOR,Other,Unknown,34265,15,1.5209021171581496
4,NARRATOR,Other,Unknown,34260,20,1.9704954624566315
5,NARRATOR,Other,Unknown,34250,30,2.8131288184827032
6,NARRATOR,Other,Unknown,34230,50,2.759611554208872
7,NARRATOR,Other,Unknown,34210,70,2.67763983913393
8,NARRATOR,Response,Anger,34279,1,0.03525713223276587
9,NARRATOR,Response,Anger,34275,5,0.17419882792944963
10,NARRATOR,Response,Anger,34270,10,0.34542064975605946
11,NARRATOR,Response,Anger,34265,15,0.5149743608235289
12,NARRATOR,Response,Anger,34260,20,0.6818824379597866
13,NARRATOR,Response,Anger,34250,30,1.0054224605743793
14,NARRATOR,Response,Anger,34230,50,1.222484047303942
15,NARRATOR,Response,Anger,34210,70,1.2957535650810883
16,NARRATOR,Response,Anticipation,34279,1,0.04665953070649823
17,NARRATOR,Response,Anticipation,34275,5,0.23050138441068713
18,NARRATOR,Response,Anticipation,34270,10,0.4569210358796088
19,NARRATOR,Response,Anticipation,34265,15,0.6786143975918797
20,NARRATOR,Response,Anticipation,34260,20,0.897023360634337
21,NARRATOR,Response,Anticipation,34250,30,1.3224748967932984
22,NARRATOR,Response,Anticipation,34230,50,1.5726934620058008
23,NARRATOR,Response,Anticipation,34210,70,1.6179053461824529
24,NARRATOR,Response,Arousal,34279,1,0.15457665940367926
25,NARRATOR,Response,Arousal,34275,5,0.7528022193780176
26,NARRATOR,Response,Arousal,34270,10,1.473691034741697
27,NARRATOR,Response,Arousal,34265,15,2.1586207901738588
28,NARRATOR,Response,Arousal,34260,20,2.8071827675583094
29,NARRATOR,Response,Arousal,34250,30,3.9850604697211014
30,NARRATOR,Response,Arousal,34230,50,3.2717118858904097
31,NARRATOR,Response,Arousal,34210,70,2.916253184427555
32,NARRATOR,Response,Disgust,34279,1,0.02604163139898226
33,NARRATOR,Response,Disgust,34275,5,0.12897108171537544
34,NARRATOR,Response,Disgust,34270,10,0.2563454039068616
35,NARRATOR,Response,Disgust,34265,15,0.3813688496524892
36,NARRATOR,Response,Disgust,34260,20,0.5027520443847734
37,NARRATOR,Response,Disgust,34250,30,0.7388248359382843
38,NARRATOR,Response,Disgust,34230,50,0.9174454152467627
39,NARRATOR,Response,Disgust,34210,70,0.9953699203282984
40,NARRATOR,Response,Dominance,34279,1,0.2414676553059315
41,NARRATOR,Response,Dominance,34275,5,1.1373194700084293
42,NARRATOR,Response,Dominance,34270,10,2.191153373375674
43,NARRATOR,Response,Dominance,34265,15,3.144606009037614
44,NARRATOR,Response,Dominance,34260,20,3.989425894220349
45,NARRATOR,Response,Dominance,34250,30,5.418320957150931
46,NARRATOR,Response,Dominance,34230,50,3.6959150363415643
47,NARRATOR,Response,Dominance,34210,70,3.1688440770921864
48,NARRATOR,Response,Fear,34279,1,0.041045638493434615
49,NARRATOR,Response,Fear,34275,5,0.20151147276286174
50,NARRATOR,Response,Fear,34270,10,0.3990528360657897
51,NARRATOR,Response,Fear,34265,15,0.5947420449266001
52,NARRATOR,Response,Fear,34260,20,0.7889241129657175
53,NARRATOR,Response,Fear,34250,30,1.1718303770192064
54,NARRATOR,Response,Fear,34230,50,1.4255582627377175
55,NARRATOR,Response,Fear,34210,70,1.5128687593260886
56,NARRATOR,Response,Joy,34279,1,0.03990284009971812
57,NARRATOR,Response,Joy,34275,5,0.19660952679347923
58,NARRATOR,Response,Joy,34270,10,0.3876564632306853
59,NARRATOR,Response,Joy,34265,15,0.5739422954933591
60,NARRATOR,Response,Joy,34260,20,0.7575846929978222
61,NARRATOR,Response,Joy,34250,30,1.118615472743528
62,NARRATOR,Response,Joy,34230,50,1.3598395194062272
63,NARRATOR,Response,Joy,34210,70,1.4315579989341878
64,NARRATOR,Response,Sadness,34279,1,0.04036080869131502
65,NARRATOR,Response,Sadness,34275,5,0.20045688694041236
66,NARRATOR,Response,Sadness,34270,10,0.3979963175632639
67,NARRATOR,Response,Sadness,34265,15,0.5923281419288223
68,NARRATOR,Response,Sadness,34260,20,0.7837942393571724
69,NARRATOR,Response,Sadness,34250,30,1.154044597326849
70,NARRATOR,Response,Sadness,34230,50,1.3440080791255704
71,NARRATOR,Response,Sadness,34210,70,1.4122979634973811
72,NARRATOR,Response,Surprise,34279,1,0.03336265660044077
73,NARRATOR,Response,Surprise,34275,5,0.16507556817297628
74,NARRATOR,Response,Surprise,34270,10,0.326693098528292
75,NARRATOR,Response,Surprise,34265,15,0.4849418467322479
76,NARRATOR,Response,Surprise,34260,20,0.6414574290558586
77,NARRATOR,Response,Surprise,34250,30,0.9480660405847561
78,NARRATOR,Response,Surprise,34230,50,1.1609409280467922
79,NARRATOR,Response,Surprise,34210,70,1.2249876807192324
80,NARRATOR,Response,Trust,34279,1,0.05703408413149603
81,NARRATOR,Response,Trust,34275,5,0.28174965101420696
82,NARRATOR,Response,Trust,34270,10,0.5556806065150873
83,NARRATOR,Response,Trust,34265,15,0.8219768708263027
84,NARRATOR,Response,Trust,34260,20,1.0810996145458134
85,NARRATOR,Response,Trust,34250,30,1.5837214383463911
86,NARRATOR,Response,Trust,34230,50,1.810605111131418
87,NARRATOR,Response,Trust,34210,70,1.8638421057516976
88,NARRATOR,Response,Valence,34279,1,0.2732461360413877
89,NARRATOR,Response,Valence,34275,5,1.2755191850694971
90,NARRATOR,Response,Valence,34270,10,2.4493182145139993
91,NARRATOR,Response,Valence,34265,15,3.4978104145196536
92,NARRATOR,Response,Valence,34260,20,4.405411320918716
93,NARRATOR,Response,Valence,34250,30,5.911397790586189
94,NARRATOR,Response,Valence,34230,50,3.794941406635433
95,NARRATOR,Response,Valence,34210,70,3.1510336527013494
96,NARRATOR,Stimulus,Anger,34279,1,0.3916778315951466
97,NARRATOR,Stimulus,Anger,34275,5,1.9525061578741236
98,NARRATOR,Stimulus,Anger,34270,10,3.8855454102877993
99,NARRATOR,Stimulus,Anger,34265,15,5.744066296930292
100,NARRATOR,Stimulus,Anger,34260,20,7.445190648063678
101,NARRATOR,Stimulus,Anger,34250,30,10.21671567897416
102,NARRATOR,Stimulus,Anger,34230,50,3.2395505427713247
103,NARRATOR,Stimulus,Anger,34210,70,1.5256548269886738
104,NARRATOR,Stimulus,Anticipation,34279,1,0.5850740159559703
