,L_NRCw_Em_anger,L_NRCw_Em_anticipation,L_NRCw_Em_disgust,L_NRCw_Em_fear,L_NRCw_Em_joy,L_NRCw_Em_negative,L_NRCw_Em_positive,L_NRCw_Em_sadness,L_NRCw_Em_surprise,L_NRCw_Em_trust,R_agent,R_patient,i,lemma,neg,t,text
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,My,,3,father,False,0,father
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,My,,51,father,False,46,father
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,My,,79,father,False,74,father
3,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,My,,82,mother,False,74,mother
4,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,My,,82,mother,False,74,mother
5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,My,,82,mother,False,74,mother
6,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,My,,82,mother,False,74,mother
7,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,My,,82,mother,False,74,mother
8,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,My,,82,mother,False,74,mother
9,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,My,,107,fancy,False,74,fancies
10,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,My,,107,fancy,False,74,fancies
11,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,My,,107,fancy,False,74,fancies
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,My,,127,father,False,120,father
13,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,My,,175,mother,False,151,mother
14,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,My,,175,mother,False,151,mother
15,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,My,,175,mother,False,151,mother
16,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,My,,175,mother,False,151,mother
17,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,My,,175,mother,False,151,mother
18,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,My,,175,mother,False,151,mother
19,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,their,,204,grave,False,181,grave
20,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,their,,204,grave,False,181,grave
21,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,their,,204,grave,False,181,grave
22,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,My,,242,entertain,False,181,entertained
23,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,My,,242,entertain,False,181,entertained
24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,My,,300,impression,False,294,impression
25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,My,,321,find,False,316,found
26,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,My,,321,find,False,316,found
27,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,My,,321,find,False,316,found
28,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,man,,593,seize,False,538,seized
29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,man,,593,seize,False,538,seized
30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,man,,814,eat,False,759,ate
31,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,man,,873,eat,True,867,eat
32,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,man,,905,hope,False,901,hope
33,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,man,,905,hope,False,901,hope
34,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,man,,905,hope,False,901,hope
35,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,man,,905,hope,False,901,hope
36,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,man,,905,hope,False,901,hope
37,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,man,,955,mother,False,952,mother
38,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,man,,955,mother,False,952,mother
39,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,man,,955,mother,False,952,mother
40,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,man,,955,mother,False,952,mother
